# 驱逐简码明细（1525 行 / 1701 字）：编码<Tab>被逐简码字<Tab>驱逐后该行内容
mug	㟡	㠈
mum	剛	岡
mw	嶺	内 㞦 㞤
mwg	嵛	峑
mx	幽 嶷	㟂
my	彤	丹 訔 㞵 㞶
myi	㠇	䝶
myw	崒	貥
na	惜	民 羾 羿
naa	㞡	悈 㥇 䎒
nam	愥	愩
nat	懂	敃
naw	殿	㤜 㤨 䎉
nb	敢 屈	㞌 邔 䣁 忚 怶 翍
nbt	憨	敢
nc	慘	㞋 㞎
nce	愑	悀
ncy	慅	㣾
ndf	屒	㤒
ndm	怖	頨 㥧 䪱
ndw	㥭	㠱 㥍
nee	恊	慆 㥊
neg	愋	怚
nf	迅 怯	㤌 忓 屚 卂 忖 怽
nfh	慎	㥀
nfo	㷉	㤸
ng	那 情	刁 䍿 忹 丮
ngm	㤄	㥽
nh	收	眉 ⺪ 疋 丩
nhq	鶥	悓
ni	悄	尿 氹
njy	憬	㥗
nk	避 壁	吢
nkg	郼	悜 韋
nkm	屌	愪
nku	臂	辟
nl	翼 慚	乪 屇 怬
nm	刷	怞 屓 㞯
nmd	惴	怏
nn	已 己	忋 忌 乜 㤈
nna	巽	怋
noo	憦	惔
np	忱 惋	迉
npq	惋	忱
npw	悾	屄
nq	懈 惚	惍
nqa	惛	忯
nqe	懈	惂
nqy	懰	㣿
nr	愧	怕 習 忻
nrr	懫	㤊
ns	怵	恓 忊 杘 悑 䎍
nsf	慓	愽 䎔
nss	憷	惏 慄
nt	性	改 必 攺
ntf	屐	忤
nth	屣	㞒
nu	飛 屏	㞐 翌 翋 㥃 屖
nuv	慊	翣
nvf	㦎	忰 翆
nw	恰 悅	乆 夬 凥
nwe	戮	㞕 翏
nwf	憏	㤔
nwg	愉	恮
ny	心	尺 乄 㣺 㤃 忟
nyk	咫	悋
nyw	翠	以 忼
nyx	慉	怰
oa	席 度	灴 䉺 㡲 灷
oam	席	熕
oc	序	粑 広
od	類 庵	炻 䊀
odj	庵	粨
odw	煁	粸
oe	粗 庾	㶲 粍
oee	熁	焩 熖
of	烤 廟	灶 粓 㶰 籵 㶥 籿
ofo	爀	焃
oi	炒 廠	黹
oj	爆 焊	灲
okk	燥	焒
ol	糞	畨 畑 炠 庘 庫
old	煾	烟
om	炯	粙
oma	燶	粬
omd	煓	炴
omw	烱	㶧
on	廖 慶	㐘 応
onh	糈	煝
oo	糖	炎 炏
oon	㷀	㥕
ooo	火	焱 㷋 䊏
oop	榮	𤇾
op	熔	迷
opq	焥	㶩
oq	底 炮	灮 㶤
oqa	底	䉻 㡳
oqg	粼	粦
oqo	㢝	熓 粷 䲴
oqr	㷓	粅
or	煌	粕 炘 䉼 庍
os	煙	床 粞 庯 庁 炑 烳 䊇
ot	庭 炸	敉 炇 秌
otf	糙	粁
oto	燔	煍
otu	烀	庝 炵 烐
ou	對	粒 㡴 烊 庠
oue	燧	燗 煫
oug	糕	䉽 菐
ouj	燑	㢓
ov	唐	㶢 籹 㡾 灱
ow	府	庂 籶
owc	焧	炂 炈
owf	腐	府
owg	爚	烇
owy	焓	㢈 焳 䊒
ox	鹿 麟	庀
oy	广 米	㢇 炆
oyb	廓	焞
oyn	煸	粐
oyv	廊	㢃 烺
paj	寞	㝜
pd	害 寡	宕 㝒 宊
pde	寡	宥
pe	宜	宒 肎
pf	冠	守
pg	家 定	㝉
pge	冢	家 寈
ph	寂	㓀
pi	宵	㲾
pl	寰	軍
pn	密	官
pnl	㲰	寍
pnt	密	宓
pp	之	㝎
pq	宛 冤	冘
pqb	剜	宛 邥
pqq	鴆	㝖
ptd	㝯	宎
ptk	額	客
pto	㔤	宷
pu	被 寵	宰 宍
pud	褥	袥
puf	褚	衦 寐
pug	寤	衭
pui	襠	䘷
pul	褳	䘥
puo	褲	㝥
puq	袍	䘳
pur	裨	袙 㝔
pus	襟	補
puy	褊	寣
pv	案	安 宄
pvt	宭	䅁
pw	空 察	冗 宂 穴 㓁
pwa	穿	空
pwc	窡	㝐
pwh	䆩	窅
pwj	窠	㝏
pwl	䆭	䆘
pwn	窟	穵
pwq	窕	穸
pwy	鶴	隺 寉
py	社 祖	㝘 㝑
pya	祴	䄀
pyd	祺	祜 祏
pyf	禧	社 祙
pyg	福	宔 䃿
pyh	禎	祉 䃼
pym	禮	䄂
pyv	祲	㝗
pyy	禳	祊
qa	昏	氏 釭 鈛
qaa	鑶	錢
qai	鑮	銾
qaw	鑊	鉷
qay	邸	氐 錺 釴
qb	迎 怨	釨 鉺 卬 夘 邜 釕 夗 釶 釢 鈹
qbb	鑷	鎁
qbc	駌	鋷
qbj	鐊	䖤
qd	然 危	鈷 鉐 厃 釱
qdc	鈸	鈜
qdh	鍥	鈈
qdm	鈽	顉
qdw	詹	錤
qe	解	角 臽 鈅 釛 釤
qek	觶	鉫
qeu	斛	觧 觪
qev	解	鋖
qf	鎮	勻 釷 鉗 針 釬 㚈
qfa	鐵	銭
qfc	鎑	鈘 鉣
qfk	鎱	銡
