简码检测明细附录(v0.1)	
=== 三级缺失槽位(不含高频候选的部分) ===
ae	占用: 菜〔1097566,现有ae,aes,aesu〕	更常用无简码: 莩〔1097684,aeb,aebf〕 芼〔1097683,aeb〕 菔〔1097682,无简码〕 萉〔1097677,aec,aecb〕
yl	占用: 畝〔991185,现有yl,ylq,ylqy〕	更常用无简码: 畆〔991302,ylc,ylcy〕 畗〔991290,ylf〕 譯〔991286,无简码〕 訵〔991283,ylg〕
ey	占用: 臃〔1078707,现有ey,eyx,eyxy〕	更常用无简码: 朜〔1078822,eyb,eybg〕 脝〔1078818,无简码〕 㬿〔1078817,无简码〕 㲙〔1078815,eyc,eyck〕
cn	占用: 預〔1087983,现有cn,cnhm〕	更常用无简码: 巴★〔1088097,cnh,cnhn〕 犌〔1088088,无简码〕 矝〔1088087,无简码〕 矡〔1088086,无简码〕
kt	占用: 川〔1052376,现有kt,kthh〕	更常用无简码: 吃★〔1052490,ktn,ktnn〕 噬〔1052488,kta,ktaw〕 呏〔1052483,无简码〕 吒〔1052480,无简码〕
kd	占用: 順〔1056158,现有kd,kdm,kdmy〕	更常用无简码: 咗〔1056270,kda,kdag〕 呃〔1056263,kdb,kdbn〕 㗞〔1056259,无简码〕 吰〔1056258,kdc,kdcy〕
kgn	占用: 饕〔1055656,现有kgn,kgnv〕	更常用无简码: 号★〔1055767,无简码〕
il	占用: 漸〔1063088,现有il,ilr,ilrh〕	更常用无简码: 漍〔1063198,ila,ilag〕 潩〔1063195,无简码〕 涸〔1063190,ild,ildg〕 瀱〔1063183,无简码〕
km	占用: 員〔1053387,现有km,kmu〕	更常用无简码: 嗣〔1053497,kma,kmak〕 噥〔1053493,无简码〕 㖆〔1053492,无简码〕 翤〔1053488,无简码〕
sd	占用: 頂〔1020501,现有sd,sdm,sdmy〕	更常用无简码: 楕〔1020611,sda,sdae〕 檶〔1020608,无简码〕 櫔〔1020606,无简码〕 枙〔1020605,sdb,sdbn〕
